ID,エンドユーザー＿リンクコード,
186,7,
92,77,
428,98,
193,260,
242,260,
250,260,
252,260,
292,260,
181,66,
63,170,
381,170,
387,170,
433,170,
83,44,
128,44,
336,44,
42,44,
62,44,
329,309,
47,86,
77,86,
178,35,
241,88,
88,151,
469,,
44,165,
54,224,
6,19,
159,32,
189,249,
325,14,
190,137,
71,83,
50,256,
148,256,
434,256,
163,1,
333,1,
130,1,
424,157,
473,78,
139,,
140,,
151,,
245,,
246,,
378,,
427,,
431,,
67,,
379,134,
46,68,
64,120,
170,120,
174,120,
235,120,
287,120,
179,74,
168,5,
332,5,
91,,
45,,
68,,
144,,
154,,
338,,
382,,
389,,
474,,
342,,
48,304,
65,,
286,,
330,,
194,121,
386,,
249,,
95,181,
79,61,
167,61,
239,61,
327,61,
84,61,
76,189,
385,189,
426,189,
339,38,
238,172,
74,150,
86,150,
172,106,
87,75,
164,75,
200,,
291,,
248,241,
4,,
85,20,
94,20,
143,20,
161,20,
162,20,
49,,
134,56,
244,125,
288,125,
199,125,
196,,
57,126,
131,126,
137,126,
142,126,
146,126,
147,126,
157,126,
160,126,
165,126,
176,126,
177,126,
184,126,
236,126,
237,126,
251,126,
331,126,
376,126,
89,126,
158,126,
337,126,
243,135,
153,,
384,,
187,136,
195,136,
9,77,
55,77,
180,77,
182,77,
43,138,
66,138,
132,138,
375,138,
335,197,
61,143,
197,143,
390,124,
73,112,
138,112,
380,112,
435,112,
72,71,
78,71,
191,103,
341,308,
383,308,
472,128,
53,119,
56,119,
149,119,
152,119,
155,119,
285,119,
328,119,
80,94,
81,94,
240,6,
133,34,
340,34,
129,288,
173,288,
135,12,
136,12,
432,12,
93,169,
425,169,
192,76,
5,76,
8,76,
52,76,
60,76,
141,76,
145,76,
150,76,
156,76,
188,76,
198,76,
233,76,
234,76,
391,76,
429,76,
166,76,
423,168,
377,15,
82,15,
171,15,
7,171,
51,171,
289,171,
334,171,
388,171,
468,171,
183,171,
185,171,
290,171,
90,16,
59,102,
175,,
326,,
430,,
470,,
69,,
70,,
75,,
