ID,エンドユーザー＿リンクコード
000186,0007
000092,0077
000428,0098
000193,0260
000242,0260
000250,0260
000252,0260
000292,0260
000181,0066
000063,0170
000381,0170
000387,0170
000433,0170
000083,0044
000128,0044
000336,0044
000042,0044
000062,0044
000329,0309
000047,0086
000077,0086
000178,0035
000241,0088
000088,0151
000469,
000044,0165
000054,0224
000006,0019
000159,0032
000189,0249
000325,0014
000190,0137
000071,0083
000050,0256
000148,0256
000434,0256
000163,0001
000333,0001
000130,0001
000424,0157
000473,0078
000139,
000140,
000151,
000245,
000246,
000378,
000427,
000431,
000067,
000379,0134
000046,0068
000064,0120
000170,0120
000174,0120
000235,0120
000287,0120
000179,0074
000168,0005
000332,0005
000091,
000045,
000068,
000144,
000154,
000338,
000382,
000389,
000474,
000342,
000048,0304
000065,
000286,
000330,
000194,0121
000386,
000249,
000095,0181
000079,0061
000167,0061
000239,0061
000327,0061
000084,0061
000076,0189
000385,0189
000426,0189
000339,0038
000238,0172
000074,0150
000086,0150
000172,0106
000087,0075
000164,0075
000200,
000291,
000248,0241
000004,
000085,0020
000094,0020
000143,0020
000161,0020
000162,0020
000049,
000134,0056
000244,0125
000288,0125
000199,0125
000196,
000057,0126
000131,0126
000137,0126
000142,0126
000146,0126
000147,0126
000157,0126
000160,0126
000165,0126
000176,0126
000177,0126
000184,0126
000236,0126
000237,0126
000251,0126
000331,0126
000376,0126
000089,0126
000158,0126
000337,0126
000243,0135
000153,
000384,
000187,0136
000195,0136
000009,0077
000055,0077
000180,0077
000182,0077
000043,0138
000066,0138
000132,0138
000375,0138
000335,0197
000061,0143
000197,0143
000390,0124
000073,0112
000138,0112
000380,0112
000435,0112
000072,0071
000078,0071
000191,0103
000341,0308
000383,0308
000472,0128
000053,0119
000056,0119
000149,0119
000152,0119
000155,0119
000285,0119
000328,0119
000080,0094
000081,0094
000240,0006
000133,0034
000340,0034
000129,0288
000173,0288
000135,0012
000136,0012
000432,0012
000093,0169
000425,0169
000192,0076
000005,0076
000008,0076
000052,0076
000060,0076
000141,0076
000145,0076
000150,0076
000156,0076
000188,0076
000198,0076
000233,0076
000234,0076
000391,0076
000429,0076
000166,0076
000423,0168
000377,0015
000082,0015
000171,0015
000007,0171
000051,0171
000289,0171
000334,0171
000388,0171
000468,0171
000183,0171
000185,0171
000290,0171
000090,0016
000059,0102
000175,
000326,
000430,
000470,
000069,
000070,
000075,
